acc,stanford.acc,ID
AY031748,AY031748,B.US.1999.NC5184_1999.5184.AY031748
AY031780,AY031780,B.US.1999.NC5222_1999.5222.AY031780
AY031818,AY031818,B.US.1999.NC5261_1999.5261.AY031818
AY031825,AY031825,B.US.1999.NC5268_1999.5268.AY031825
AY031829,AY031829,B.US.1999.NC5272_1999.5272.AY031829
AY031854,AY031854,B.US.1999.NC5297_1999.5297.AY031854
AY031873,AY031873,B.US.1999.NC5318_1999.5318.AY031873
AY031891,AY031891,B.US.1999.NC5337_1999.5337.AY031891
AY031893,AY031893,B.US.1999.NC5339_1999.5339.AY031893
AY031902,AY031902,B.US.1999.NC5348_1999.5348.AY031902
AY031905,AY031905,B.US.1999.NC5351_1999.5351.AY031905
AY031928,AY031928,B.US.1999.NC5373_1999.5373.AY031928
AY031930,AY031930,B.US.1999.NC5375_1999.5375.AY031930
AY031931,AY031931,B.US.1999.NC5376_1999.5376.AY031931
AY031942,AY031942,B.US.1999.NC5387_1999.5387.AY031942
AY031944,AY031944,B.US.1999.NC5389_1999.5389.AY031944
AY031955,AY031955,B.US.1999.NC5401_1999.5401.AY031955
AY031963,AY031963,B.US.1999.NC5409_1999.5409.AY031963
AY031967,AY031967,B.US.1999.NC5413_1999.5413.AY031967
AY031972,AY031972,B.US.1999.NC5420_1999.5420.AY031972
AY031976,AY031976,B.US.1999.NC5424_1999.5424.AY031976
AY031977,AY031977,B.US.1999.NC5425_1999.5425.AY031977
AY031998,AY031998,B.US.1999.NC5458_1999.5458.AY031998
AY032039,AY032039,B.US.1999.NC5529_1999.5529.AY032039
AY032059,AY032059,B.US.1999.NC5592_1999.5592.AY032059
AY032070,AY032070,B.US.1999.NC5603_1999.5603.AY032070
AY032092,AY032092,B.US.2000.NC5626_2000.5626.AY032092
AY032093,AY032093,B.US.2000.NC5627_2000.5627.AY032093
AY032106,AY032106,B.US.2000.NC5704_2000.5704.AY032106
AY032107,AY032107,B.US.2000.NC5705_2000.5705.AY032107
AY032137,AY032137,B.US.2000.NC5747_2000.5747.AY032137
AY032160,AY032160,B.US.2000.NC5770_2000.5770.AY032160
AY032194,AY032194,B.US.2000.NC5945_2000.5945.AY032194
AY032201,AY032201,B.US.2000.NC5953_2000.5953.AY032201
AY032249,AY032249,B.US.2000.NC6006_2000.6006.AY032249
AY032255,AY032255,B.US.2000.NC6012_2000.6012.AY032255
AY032256,AY032256,B.US.2000.NC6013_2000.6013.AY032256
AY032355,AY032355,B.US.2000.NC6400_2000.6400.AY032355
AY032388,AY032388,B.US.2000.NC6435_2000.6435.AY032388
AY032399,AY032399,B.US.2000.NC6446_2000.6446.AY032399
AY032405,AY032405,B.US.2000.NC6453_2000.6453.AY032405
AY032406,AY032406,B.US.2000.NC6455_2000.6455.AY032406
AY032441,AY032441,B.US.2000.NC6490_2000.6490.AY032441
AY032442,AY032442,B.US.2000.NC6491_2000.6491.AY032442
AY032444,AY032444,B.US.2000.NC6493_2000.6493.AY032444
AY032453,AY032453,B.US.2000.NC6502_2000.6502.AY032453
AY032454,AY032454,B.US.2000.NC6503_2000.6503.AY032454
AY032462,AY032462,B.US.2000.NC6556_2000.6556.AY032462
AY032467,AY032467,B.US.2000.NC6561_2000.6561.AY032467
AY032472,AY032472,B.US.2000.NC6566_2000.6566.AY032472
AY032482,AY032482,B.US.2000.NC6576_2000.6576.AY032482
AY032483,AY032483,B.US.2000.NC6577_2000.6577.AY032483
AY032509,AY032509,B.US.2000.NC6604_2000.6604.AY032509
AY032511,AY032511,B.US.2000.NC6606_2000.6606.AY032511
AY032517,AY032517,B.US.2000.NC6612_2000.6612.AY032517
AY032519,AY032519,B.US.2000.NC6614_2000.6614.AY032519
AY032553,AY032553,B.US.2000.NC6821_2000.6821.AY032553
AY032555,AY032555,B.US.2000.NC6823_2000.6823.AY032555
AY032560,AY032560,B.US.2000.NC6828_2000.6828.AY032560
AY032568,AY032568,B.US.2000.NC6836_2000.6836.AY032568
AY032572,AY032572,B.US.2000.NC6840_2000.6840.AY032572
JN940748,JN940748,B.US.2003.38931.-.JN940748
JN940750,JN940750,B.US.2003.41549.-.JN940750
JN940751,JN940751,B.US.2003.41579.-.JN940751
JN940752,JN940752,B.US.2003.42830.-.JN940752
JN940753,JN940753,B.US.2003.42880.-.JN940753
JN940756,JN940756,B.US.2003.48276.-.JN940756
JN940757,JN940757,B.US.2003.48354.-.JN940757
JN940758,JN940758,B.US.2003.48440.-.JN940758
JN940759,JN940759,B.US.2003.51207.-.JN940759
JN940760,JN940760,B.US.2003.51377.-.JN940760
JN940762,JN940762,B.US.2003.55364.-.JN940762
JN940763,JN940763,B.US.2003.55382.-.JN940763
JN940764,JN940764,B.US.2003.58040.-.JN940764
JN940766,JN940766,B.US.2003.58356.-.JN940766
JN940768,JN940768,B.US.2003.59507.-.JN940768
JN940769,JN940769,B.US.2003.59595.-.JN940769
JN940770,JN940770,B.US.2003.60958.-.JN940770
JN940771,JN940771,B.US.2003.61108.-.JN940771
JN940773,JN940773,B.US.2003.61218.-.JN940773
JN940775,JN940775,B.US.2003.64300.-.JN940775
JN940776,JN940776,B.US.2003.64372.-.JN940776
JN940777,JN940777,B.US.2003.64550.-.JN940777
JN940778,JN940778,B.US.2003.68887.-.JN940778
JN940779,JN940779,B.US.2003.69021.-.JN940779
JN940781,JN940781,B.US.2003.79622.-.JN940781
JN940782,JN940782,B.US.2003.79644.-.JN940782
JN940783,JN940783,B.US.2003.79648.-.JN940783
KY190128,KY190128,B.US.2009.134477.-.KY190128
KY190129,KY190129,B.US.2010.170420.-.KY190129
KY190130,KY190130,B.US.2011.175474.-.KY190130
KY190131,KY190131,B.US.2009.134517.-.KY190131
KY190132,KY190132,D.US.2009.134521.-.KY190132
KY190134,KY190134,B.US.2010.152374.-.KY190134
KY190135,KY190135,B.US.2008.123504.-.KY190135
KY190136,KY190136,C.US.2011.175492.-.KY190136
KY190139,KY190139,B.US.2009.134529.-.KY190139
KY190140,KY190140,B.US.2011.191768.-.KY190140
KY190141,KY190141,01_AE.US.2008.123524.-.KY190141
KY190142,KY190142,B.US.2014.280496.-.KY190142
KY190145,KY190145,B.US.2011.191783.-.KY190145
KY190147,KY190147,B.US.2009.134551.-.KY190147
KY190148,KY190148,B.US.2009.152404.-.KY190148
KY190151,KY190151,B.US.2008.126483.-.KY190151
KY190152,KY190152,B.US.2011.175520.-.KY190152
KY190153,KY190153,B.US.2009.134561.-.KY190153
KY190154,KY190154,B.US.2009.152414.-.KY190154
KY190157,KY190157,B.US.2010.170485.-.KY190157
KY190158,KY190158,B.US.2011.191797.-.KY190158
KY190159,KY190159,B.US.2009.152430.-.KY190159
KY190161,KY190161,B.US.2013.248302.-.KY190161
KY190162,KY190162,B.US.2009.152442.-.KY190162
KY190163,KY190163,B.US.2009.152444.-.KY190163
KY190164,KY190164,B.US.2012.191803.-.KY190164
KY190165,KY190165,B.US.2009.152448.-.KY190165
KY190166,KY190166,B.US.2011.175533.-.KY190166
KY190167,KY190167,B.US.2010.152492.-.KY190167
KY190168,KY190168,B.US.2009.152550.-.KY190168
KY190170,KY190170,B.US.2011.175535.-.KY190170
KY190172,KY190172,B.US.2012.212629.-.KY190172
KY190173,KY190173,B.US.2011.191809.-.KY190173
KY190174,KY190174,B.US.2013.262634.-.KY190174
KY190175,KY190175,B.US.2010.170495.-.KY190175
KY190176,KY190176,B.US.2011.175541.-.KY190176
KY190177,KY190177,B.US.2012.212639.-.KY190177
KY190182,KY190182,B.US.2012.191845.-.KY190182
KY190184,KY190184,B.US.2011.191849.-.KY190184
KY190185,KY190185,B.US.2013.248330.-.KY190185
KY190186,KY190186,B.US.2014.262654.-.KY190186
KY190187,KY190187,B.US.2011.191857.-.KY190187
KY190188,KY190188,B.US.2012.212661.-.KY190188
KY190189,KY190189,B.US.2011.175801.-.KY190189
KY190191,KY190191,B.US.2011.191973.-.KY190191
KY190192,KY190192,B.US.2011.192048.-.KY190192
KY190194,KY190194,B.US.2012.212674.-.KY190194
KY190196,KY190196,B.US.2012.213217.-.KY190196
KY190199,KY190199,B.US.2013.234118.-.KY190199
KY190201,KY190201,B.US.2013.234152.-.KY190201
KY190203,KY190203,B.US.2014.262670.-.KY190203
KY190207,KY190207,B.US.2013.262786.-.KY190207
KY190208,KY190208,B.US.2014.280630.-.KY190208
KY190211,KY190211,B.US.2014.280817.-.KY190211
KY190212,KY190212,B.US.2014.280826.-.KY190212
KY586157,KY586157,B.US.2012.CA213146.-.KY586157
KY586158,KY586158,B.US.2010.CA162341.-.KY586158
KY586159,KY586159,B.US.2007.CA84750.-.KY586159
KY586161,KY586161,B.US.2009.CA152390.-.KY586161
KY586162,KY586162,B.US.2007.CA88702.-.KY586162
KY586163,KY586163,B.US.2007.CA95363.-.KY586163
KY586164,KY586164,B.US.2008.CA123580.-.KY586164
KY586165,KY586165,B.US.2008.CA123842.-.KY586165
KY586166,KY586166,B.US.2008.CA126651.-.KY586166
KY586167,KY586167,B.US.2009.CA134709.-.KY586167
KY586169,KY586169,B.US.2009.CA152824.-.KY586169
KY586188,KY586188,B.US.2010.CA170704.-.KY586188
KY586189,KY586189,B.US.2010.CA170710.-.KY586189
KY586201,KY586201,B.US.2011.CA170920.-.KY586201
KY586206,KY586206,B.US.2011.CA192200.-.KY586206
KY586208,KY586208,B.US.2012.CA192346.-.KY586208
MG171045,MG171045,B.US.2006.CA64014.arb4.MG171045
MG171046,MG171046,B.US.2009.CA134487.arb7.MG171046
MG171047,MG171047,B.US.2007.CA84398.arb3.MG171047
MG171048,MG171048,B.US.2007.CA88670.arb10.MG171048
MG171049,MG171049,B.US.2008.CA95311.-.MG171049
MG171050,MG171050,01_AE.US.2007.CA95401.arb1.MG171050
MG171051,MG171051,B.US.2008.CA95697.arb6.MG171051
MG171053,MG171053,B.US.2008.CA123666.arb5.MG171053
MG171055,MG171055,B.US.2008.CA126573.arb12.MG171055
MG171056,MG171056,B.US.2009.CA134607.arb9.MG171056
MG171058,MG171058,B.US.2009.CA134909.arb8.MG171058
MG800361,MG800361,B.US.2006.CA68683.-.MG800361
MG800363,MG800363,B.US.2008.CA96741.-.MG800363
MG800364,MG800364,B.US.2008.CA96593.-.MG800364
MG800369,MG800369,B.US.2009.CA152309.-.MG800369
MG800380,MG800380,B.US.2011.CA192236.-.MG800380
MG800382,MG800382,B.US.2011.CA191685.-.MG800382
MG800383,MG800383,A.US.2012.CA192352.-.MG800383
MG800384,MG800384,B.US.2012.CA192379.-.MG800384
MG800387,MG800387,C.US.2012.CA234237.-.MG800387
MG800388,MG800388,A.US.2012.CA234223.-.MG800388
MG800390,MG800390,02_AG.US.2013.CA234498.-.MG800390
MG800392,MG800392,C.US.2014.CA280726.-.MG800392
MG800393,MG800393,01_AE.US.2014.CA280891.-.MG800393
MG800394,MG800394,01_AE.US.2014.CA280942.-.MG800394
MG800396,MG800396,01_AE.US.2014.CA280601.-.MG800396
MG800397,MG800397,07_BC.US.2014.CA281149.-.MG800397
MG800398,MG800398,C.US.2014.CA280484.-.MG800398
MG800408,MG800408,B.US.2013.CA262861.-.MG800408
MG800409,MG800409,B.US.2014.CA280445.-.MG800409
MG800411,MG800411,B.US.2014.CA280950.-.MG800411
MG800433,MG800433,B.US.2011.CA191662.-.MG800433
MG800482,MG800482,B.US.2016.CA351887.-.MG800482
EU608097,NA,B.-.2002.02_126968.-.EU608097
EU608968,NA,B.-.2002.02_131950.-.EU608968
EU611956,NA,B.-.2003.03_109812.-.EU611956
EU612030,NA,B.-.2003.03_110208.-.EU612030
EU613157,NA,B.-.2003.03_116395.-.EU613157
EU614171,NA,B.-.2003.03_121271.-.EU614171
KY968501,NA,B.AR.2008.219457HSH_2008.219457.KY968501
EU711492,NA,B.US.-.084K60957.084K60957.EU711492
JN215049,NA,B.US.2009.479_4395_8.-.JN215049
KJ598543,NA,B.US.2011.160_07FEB11.-.KJ598543
KJ723181,NA,B.US.2011.SD_PIRC_94705.-.KJ723181
AF013863,AF013863,NA
AF013864,AF013864,NA
AF013891,AF013891,NA
AF013892,AF013892,NA
AF021273,AF021273,NA
AF021299,AF021299,NA
AF085125,AF085125,NA
AF088117,AF088117,NA
AF096886,AF096886,NA
AF096891,AF096891,NA
AF331676,AF331676,NA
AF331678,AF331678,NA
AF331679,AF331679,NA
AF331687,AF331687,NA
AF331688,AF331688,NA
AF331690,AF331690,NA
AF331691,AF331691,NA
AF331693,AF331693,NA
AF331701,AF331701,NA
AF331702,AF331702,NA
AF514013,AF514013,NA
AF514037,AF514037,NA
AF514048,AF514048,NA
AF514058,AF514058,NA
AF514060,AF514060,NA
AF514061,AF514061,NA
AF514062,AF514062,NA
AF514063,AF514063,NA
AF514064,AF514064,NA
AF514066,AF514066,NA
AF514067,AF514067,NA
AF514068,AF514068,NA
AF514070,AF514070,NA
